snapshot_id,product_id,snapshot_date,quantity_start_of_day,quantity_received,quantity_shipped,backorder_quantity,in_transit_quantity
499,10,2024-03-10,176,104,58,8,173
500,100,2024-05-24,418,70,94,20,34
501,93,2024-06-09,781,88,124,21,188
502,24,2024-03-09,481,43,44,39,134
503,56,2024-02-23,485,110,137,46,110
504,3,2024-08-20,212,16,121,44,173
505,46,2024-05-14,6,69,120,37,192
506,46,2024-03-14,671,90,126,24,38
507,53,2024-02-28,599,120,36,44,59
508,73,2024-04-14,897,69,0,48,135
509,89,2024-12-14,452,162,139,35,129
510,82,2024-08-18,699,116,29,14,161
511,28,2024-03-14,102,6,51,44,27
512,90,2024-03-15,695,98,31,13,165
513,95,2024-08-12,289,135,37,47,34
514,19,2024-07-05,253,170,81,2,20
515,52,2024-06-04,851,128,64,26,21
516,62,2024-11-18,204,16,63,48,80
517,18,2024-07-27,58,41,131,28,96
518,62,2024-05-20,521,18,26,27,92
519,15,2024-06-04,959,73,108,8,150
520,78,2024-07-27,888,62,74,41,193
521,92,2024-06-01,826,93,114,18,164
522,79,2024-09-01,850,48,36,19,1
523,38,2024-07-20,214,95,83,49,181
524,30,2024-07-30,581,46,130,46,64
525,81,2024-06-05,547,67,96,16,145
526,15,2024-12-10,205,75,73,41,60
527,20,2024-08-18,41,175,22,21,64
528,63,2023-12-20,786,53,107,21,74
529,48,2024-05-05,911,37,113,39,120
530,19,2024-04-11,197,143,17,10,43
531,43,2024-06-13,627,191,111,26,136
532,8,2024-10-03,235,166,31,45,189
533,81,2024-03-16,507,61,58,35,50
534,68,2024-09-23,550,73,57,24,107
535,72,2024-11-29,383,8,116,32,86
536,95,2024-02-29,456,138,10,44,65
537,61,2024-01-21,365,139,104,5,66
538,91,2024-05-28,311,166,94,41,22
539,50,2024-10-29,550,32,118,19,92
540,41,2024-02-15,616,22,37,11,105
541,78,2024-03-12,169,151,147,11,63
542,97,2024-04-07,14,60,22,32,148
543,85,2024-07-28,959,23,73,45,134
544,89,2024-06-05,477,28,77,46,177
545,37,2024-10-28,973,132,47,32,138
546,49,2024-02-17,570,179,40,20,99
547,98,2023-12-26,665,31,111,4,68
548,20,2024-02-08,876,9,111,27,110
549,85,2024-02-12,583,167,44,37,15
550,23,2024-02-09,810,135,19,12,165
551,68,2024-07-08,212,18,9,34,3
552,33,2024-05-06,563,178,81,35,108
553,52,2024-05-24,928,89,36,27,91
554,30,2023-12-25,959,37,46,35,42
555,85,2024-01-13,968,73,77,20,178
556,73,2024-01-03,160,95,2,50,21
557,49,2024-11-09,336,38,142,29,185
558,26,2024-04-09,944,98,67,22,98
559,66,2024-09-29,910,121,74,46,185
560,52,2024-06-29,125,10,81,10,74
561,42,2024-09-01,856,146,30,22,172
562,35,2024-01-15,952,124,45,41,164
563,25,2024-02-20,864,29,42,24,30
564,45,2024-11-29,839,150,139,20,22
565,1,2024-11-03,278,39,89,7,126
566,98,2024-10-21,742,56,82,47,83
567,99,2024-09-01,471,176,64,21,32
568,95,2024-05-30,259,36,123,35,91
569,71,2024-05-29,116,158,12,26,162
570,53,2024-04-06,271,35,102,30,180
571,21,2024-08-27,422,143,136,38,177
572,43,2024-08-22,208,175,21,22,160
573,32,2024-01-20,698,112,38,4,179
574,10,2024-11-04,330,194,45,4,44
575,65,2024-04-25,995,196,18,45,69
576,23,2024-01-06,866,59,114,23,129
577,12,2024-12-15,983,38,32,3,186
578,71,2024-06-30,4,102,113,36,8
579,74,2024-09-11,515,83,84,42,189
580,50,2024-01-23,764,160,88,5,168
581,1,2024-08-28,209,136,89,2,6
582,78,2024-07-22,324,170,37,1,178
583,68,2024-05-17,701,0,21,12,25
584,67,2024-01-14,299,130,51,6,102
585,62,2024-03-27,178,66,13,37,157
586,12,2024-05-20,554,75,35,21,48
587,19,2024-01-23,931,92,33,44,108
588,2,2024-05-15,961,190,41,43,40
589,14,2024-07-21,580,7,68,36,135
590,87,2024-10-17,655,31,25,27,48
591,54,2024-11-13,619,37,97,30,171
592,92,2023-12-21,69,68,34,22,10
593,96,2024-09-22,182,126,52,22,141
594,97,2024-01-08,855,174,37,32,123
595,26,2024-02-17,861,24,45,46,64
596,38,2023-12-28,32,45,110,41,28
597,14,2024-07-19,116,134,9,20,185
598,74,2024-01-25,275,198,104,28,95
599,83,2024-11-06,173,191,73,45,112
600,48,2024-02-23,190,43,86,39,168
601,3,2024-04-04,761,22,79,18,121
602,100,2024-03-15,688,110,95,23,142
603,41,2024-04-18,797,78,127,46,2
604,28,2024-09-16,86,96,145,35,59
605,78,2024-03-24,188,132,9,19,57
606,24,2024-02-12,246,5,120,27,41
607,27,2024-10-13,978,4,86,19,48
608,66,2024-05-23,386,64,39,8,98
609,52,2024-08-19,650,67,37,6,125
610,67,2024-01-08,38,183,90,40,2
611,39,2024-11-04,627,68,48,40,8
612,30,2024-01-30,302,47,45,26,144
613,69,2023-12-23,857,36,132,12,6
614,95,2024-11-23,54,24,46,16,159
615,45,2024-09-17,934,67,15,10,180
616,30,2024-01-26,850,89,105,40,12
617,11,2024-04-16,517,92,47,45,113
618,50,2023-12-26,602,51,74,10,137
619,62,2024-03-30,172,108,11,21,73
620,45,2024-10-26,826,68,81,15,32
621,6,2024-02-05,786,84,140,17,139
622,3,2024-10-11,874,174,49,4,69
623,73,2024-06-18,988,49,59,47,92
624,29,2024-08-30,736,5,81,33,90
625,24,2024-11-08,203,197,46,41,54
626,37,2024-09-22,40,170,112,42,143
627,42,2024-03-27,776,29,133,24,161
628,29,2024-09-01,312,183,4,5,166
629,93,2024-11-15,30,99,95,34,187
630,8,2024-01-20,928,37,113,15,15
631,90,2024-06-16,905,29,30,7,82
632,91,2024-12-09,35,176,78,44,164
633,14,2024-01-29,95,194,126,48,82
634,90,2024-02-20,112,188,32,17,72
635,44,2024-04-25,330,69,127,19,186
636,32,2024-11-30,794,134,80,19,194
637,22,2024-03-16,80,141,121,16,48
638,91,2024-09-18,720,79,145,32,130
639,53,2024-04-14,529,144,56,49,111
640,96,2024-09-09,426,108,96,40,44
641,47,2024-09-13,392,3,129,5,122
642,65,2024-08-23,200,82,87,48,55
643,73,2024-10-18,893,100,61,32,39
644,47,2024-03-10,423,149,12,40,120
645,89,2024-10-31,549,4,17,16,141
646,87,2024-04-01,423,1,107,47,166
647,60,2024-03-04,49,111,150,48,147
648,71,2024-04-30,274,54,69,41,15
649,81,2024-02-22,412,9,2,12,111
650,17,2024-03-02,454,21,83,13,133
651,8,2024-02-28,835,66,96,25,17
652,50,2024-09-23,584,28,57,39,37
653,89,2024-05-11,371,190,49,42,48
654,50,2024-06-13,965,65,140,48,41
655,50,2024-06-25,428,159,126,7,37
656,92,2024-01-16,430,185,83,13,144
657,1,2024-07-06,54,189,14,46,108
658,96,2023-12-31,90,104,94,46,2
659,41,2024-04-22,429,169,75,4,155
660,30,2024-01-07,333,84,48,10,17
661,58,2024-01-09,27,84,78,1,0
